Unnamed: 0,urlDrugName,rating,effectiveness,sideEffects,condition,benefitsReview,sideEffectsReview,commentsReview,sentiment
1565,lortab,7,Moderately Effective,Moderate Side Effects,"sever back pain,",helped some what to control the pain from a disk setting on my siatic nerve it did not stop the pain but it did help lesson the amount of pain so i could function better,"I think it is more of a long term side affect that happened, In the corse of the years I took this product I started experencing decrease sensation in my lower bowl, to the point I when I needed to use the bathroom, it also messed up my digestion. I quit using it and would only take it when I get so deep in pain I need to get a handle on it, the drug helps then","I was given Loritab to help stop the pain in my back and running down my left leg. I was to take it every 6 hours or as needed, which ended up using it round the clock the pain was so bad. The Doctors also gave me 600mg of Ibuprophin to take with the Loritab. It helped at fist but the end effects to my body I feel in some ways not worth taking the medication, but it it's defense it did help me get a handle on the pain so I could get off the drug",1
590,acyclovir,10,Highly Effective,No Side Effects,cold sore,i was  days into having my very first cold sore which had since turned into two on the left and right sides of my bottom lip and i had already tried abreva and camphophenique with absolutely no benefit i thought i was going to suffer for weeks it was so painful and kept scabbing then the scabs would fall off after drinking or taking a shower then i saw my dr who prescribed zovirax ointment i swear the next day both cold sores were half the size and no longer weeping it is just about healed this stuff works and now that i know i get cold sores i will never be without zovirax ever,None,Blotted lips to dry and allow the ointment stay on lips. Wash hands well before and after application. Apply a thin layer to lips 6 x per day and especially right before bed.,1
2082,metformin,10,Highly Effective,No Side Effects,diabetese,the medformin controls my blood sugar ive been taking it for eight years now with no side effects i continue to enjoy the food i eat without worry because i regularly take this medicine it does not contradict with the medicine i take for my hyperthyroidism medformin is also affordable thats why i can regularly take this medicine,I do not feel any side effects taking this medicine.,I take Medformin one tablet in the morning after breakfast and one tablet after dinner.,1
1865,augmentin,10,Highly Effective,No Side Effects,subungal hematoma,the medicine was taken to prevent infection since a hole was drilled to drain the gathered blood and release pressure on my nail bed  as a result i am in the process of regrowing a healthy nail,"There were no adverse side effects.  By taking the medication and ensuring that the wound was kept clean, infection was kept at bay.","I was prescribed Augmentin at 875mg to be taken twice a day for 10 days in order to fend off infection in my nail bed.  Meanwhile,I used topical iodine and hydrogen peroxide to clean the wound several times a day and applied new bandages at each cleaning.  Once the swelling and pain subsided and growth of a new nail was evident, I trimmed away what I could of the damaged nail to allow the new one space to grow and to aid in keeping the wound clean.",1
1488,metrogel,7,Moderately Effective,No Side Effects,rosacea,reduced redness of the forhead and cheeks,No side effects.,Applied MetroGel 0.75% to areas of face affected by rosacea in morning and evening.  Redness and small bumps were somewhat reduced.,1
3966,norvasc,6,Considerably Effective,Moderate Side Effects,hypertension,lowering blood pressure,Edema,Changed to Atacand Plus 16mg. No side effects to date (4 mths),1
4039,tri-luma,3,Ineffective,Severe Side Effects,melasma,"the first time i used the drug it lightened the patches of melasma the second time i used it about a year later it actually darkened them i was told that happens to some people who use hydroquinone and that i will never be able to use it i use sun block every day year round

i am irishitaliangermandutch my skin is fair yet any trauma results in hyperpigmentation",See above,See above,0
3822,estrasorb,10,Highly Effective,No Side Effects,menopause,completely changed my way of life  within days could tell a difference no longer suffer from night sweats or hot flashes at all  the best thing i have ever tried  this is a topical lotion that comes in individual packets that are  grams each daily dosage is   packets,none,"use 2 packets daily, rubs into skin like a lotion..",1
2196,clonazepam,8,Highly Effective,Moderate Side Effects,anxiety,reduced anxiety calmness prior to using this drug i was not able to function well in my job i did not want to go out particularly to crowded areas such as church or shopping now i have no problem with going out,"ED, mild energy loss. The ED was the most difficult side effect and I have not consulted my physician about this. My psychiatrist, who issued the drug, does not issue ED medication because he does not have facilities to evaluate my other health needs. Another mild side effect is that if I miss a dose it seems like I have a mild racing heart. Withdrawal symptom. this will occur several hours after a missed dose.","Morning and evening, one tablet, 2 mg. There is a buildup period and until the body has adapted there may be some drowsiness or motor control deficiency. These are gone after a month or so.",1
1735,topamax,10,Considerably Effective,Mild Side Effects,migraine prevention,topamax helped decrease the frequency and intensity of my migraines,Treatment side effects include paresthesia of my hands and mild drowsiness.,"Topamax was taken in order to prevent migraines. I also monitored my diet to avoid migraine triggers such as caffeine, aged cheeses, preserved meats, bananas, avocados, beans, dairy products, beer, wine, etc. In addition, I took birth control pills to control hormonal fluctuations. This helped prevent menstrual migraines.",1
2958,zyban,4,Highly Effective,Severe Side Effects,smoking,it has done its job and i am smoke free now for  weeks,"had random dreams for about 1 week,the worst thing was not reading the side effects of drinking alcahol,on one accasion had very little to drink and was verry hung over next day not knowing if someone had spiked my drink, the second time when drinking with mates on the town totally blacked out and have no recolection of 5 to six hours of where i had been or what i had done and sleeping for nearly a day being so tired as though you have not slept for a week",i have stopped taking them now and still not smoking but would warn all to be aware of what the side effects can be its been about 2 week off them now and still feel a bit panicky drowsy at times,0
2734,elavil,9,Considerably Effective,Mild Side Effects,sleep,helps me fall asleep and stay asleep,"difficult to get up, tiredness in the morning, light sensitivity, constipation","i have been take amitriptyline for the last 22 years, without too serious side effects. i never miss a dose- if by some reason i dont have it - i will never be able to fall asleep at all. I started on 10mg but now i am taking 35mg, it helps.",1
3109,ortho-tri-cyclen,7,Highly Effective,Mild Side Effects,prevent pregnancy,ortho tri cyclen effectively prevented pregnancy cleared up acne gave me regular periods helped with iron deficiency due to blood loss,"Thinning hair, bleeding gums, eventually the iron deficiency came back","I began taking Ortho Tri Cyclen at age 20.  It gave me regular periods (they aren't really 'periods,' they are just a withdrawl from the hormones) and less cramping, lighter flow.  It got rid of my acne. I did not get pregnant in my 7.5 years of taking the drug.  I think that eventually the pill prevents you from absorbing nutrients because my iron deficiency came back. I am not sure if the nutrient absorption has anything to do with having bleeding gums more often, but I did have a lot of pain because of a dislodged clot when I got my wisdom teeth removed and the oral surgeon said that this happens more often to women who take birth control. I stopped taking the pill to find more natural ways of birth control, and because my hair was becoming thin and brittle. I also don't like the stories of the effect hormones are having on our environment (going into groundwater).",1
859,valium,9,Considerably Effective,Mild Side Effects,anxiety,helped greatly in as much as wasnt crying as much and was able to sleep a little better,only that it made me a bit lethargic but not noticeably so.,"Would only take a tablet when I was feeling particularly vulnerable for example at the funeral and times when feeling overcome. I think that this is the best thing about valium you only have to take it when you really need it and it works almost immediately and for me without undesirable side effects. You just have to be careful and not take constantly for long periods of time.I know of many people who have been prescribed the newer anti depressants and have gone through the most horrendous side effects, personally I wouldnt touch them.",1
2440,wellbutrin-sr,10,Highly Effective,Mild Side Effects,bi-polar,rid patient of emotional highs and lows  bring them to an even mamgeable level  also eased if not completely diminished all of patients anxiety related syptoms and eased those of the ocd to a more manageable level as well,"Dry mouth, sleepiness upon first ingesting the medication, and some gastrointestinal discomfort when started taking. If taken too close will cause a mild nervousness.  Last does is to be taken several hours before bed or will cause a sleepless night.",Patient is to take 150 mg in the morning and 150 mg in the evening as perscribed and take no sooner than 8 hrs apart.  Best to take last pill in the evening and not directly before bed so that patient will be able to get a good nights rest.,1
2741,actonel,1,Ineffective,Extremely Severe Side Effects,prevent osteoporose,none loss of bone density,"pain in all bones similar to arthritic pain. Repetitive retinal tears. formation of an epimacular membrane. (after stopping Actonel,the bone pains disappeared within 2 months. No further retinal tears and there is still no need to operate on the epimacular membrane after 2 years)",Actonel :  1 pill per week 30 minutes at least before any food / drink intake. Need to stay upright at least 30 minutes.,0
3239,nuvaring,9,Highly Effective,Mild Side Effects,prevent pregnancy,had a more regular period knew that i would be getting my period  days after i took the ring out could leave the ring in longer if i wanted to and delay my period did not feel it at all during any activity never fell out,"i feel as if i get headaches more, and pissed off more. didnt realize it til now that my sex drive has gone down, nastier period. but overall i like it",...,1
1748,topamax,7,Considerably Effective,Moderate Side Effects,migraines,the topamax helped reduce the frequency of the migraines significantly  in addition it also helped me to loose weight at the beginning of the treatment,"With the Topamax, there was nausea at the beginning.  I also have a hard time recalling words and thoughts alot of the time, and I feel fatigued alot.  

The imitrex makes me nauseased and makes you feel wiered after taking it.",Topamax was prescribed due to incresing occurance of migraines.  Dosage started at 50 mg and was increased to 125 until migraines were under control.  Imitrex is taken as need when migraines occur.,1
4096,chantix,10,Highly Effective,Mild Side Effects,smoking cessation,allowed me to quit smoking without the physical withdrawl,"OCCASSIONAL NAUSA SHORTLY AFTER TAKING, OCCASSIONAL GAS, SLEEPING DIFFICULTY",1 TABLET IN  THE AM ONE IN PM,1
3777,metronidazole,1,Marginally Effective,Extremely Severe Side Effects,diarrhea,"i took my puppy to the vet the puppy was having diarrhea and vomiting the vet gave him metoclopramide perinorm for vomiting and metronidazole for diarrhea 
within  days the puppy died he was so weak after metronidazole that he could not move  he was quiet ok before i took him to vet","Extreme weakness, extreme nausea, the puppy had not taken any food, but he was still vomitting or having anti-peristaltic movements all the time and he died ultimately because of lack of energy.","He was given Metronidazole, Metoclopramide for his nausea and vomiting. I would say the metronidazole may be useful for some but it caused death of my puppy. I am a healthcare professional and I know what metronidazole does.",0
1796,citalopram,10,Highly Effective,Mild Side Effects,"anxiety, panic attack",i suffered from anxiety for years my gp prescribed me the citalopram after i got unfairly dismissed from my job i didnt feel any difference for  weeks then i felt great i have been enjoying every second of my life since taking this drug,I would say that the only side effect I found uncomfortable was that the drug made going to the toilet all the time. It gave me diarrhoea sometimes. I think that's to do with the additives,I have been taking 10mg of Citalopram twice a day after food.,1
2364,propecia,7,Highly Effective,Moderate Side Effects,thinning hair,after a couple weeks my hair grew stronger hairs that were lost along the hairline grew back  this product really does work,"Not sure if this is related, but I had a pain in my testicle for about 3 weeks straight.  Doctor ruled out hernia and UA came back negative for infections.
I had a small decrease in libido, but it was nothing too serious.  If you like having sex 5 times a day, then this might not be for you.  But, you will still have a normal libido.  Also maybe some fatigue, but again could be related to something else.(stress)","overall,this is great if you can't stand rogaine.",1
1062,botox,1,Highly Effective,Severe Side Effects,forehead frown lines,the frown lines on the forehead were diminished for a period of abut  months,Approximately one week after injection the brow line swelled to the point of losing the upper nasal curvature for about 2 days.  There was webbing of the upper eyelids in a diagonal line from the inner canthus to the outer eyebrow that lasted throughout the effect of the botox,"the drug was injected in one appointment to the frown lines of the forehead.  There was no immediate swelling, bleeding, or other adverse reaction.",0
823,zyrtec-d,9,Highly Effective,Mild Side Effects,allergies,zyrtec d helped me live almost symptom free every day only during the fall when the ragweed count was exceptionally high my worst allergy by far did i feel some mild symptoms of allergies no other medication has so effectively eliminated my symptoms on a consistent basis,"While taking Zyrtec D I often had dry mouth, and just couldn't drink enough water and was occasionally drowsy.","Take one pill every 12 hours, although on more mild days I could get away with only taking one a day.",1
3524,lunesta,9,Highly Effective,Moderate Side Effects,sleeping problems,was able to fall asleep within  minutes of taking lunesta  stayed asleep for at least  hours to  hours,"Bad taste in mouth before falling asleep, sleeping too long (10-14 hours), having difficulty waking up after 8 hours or less.","Due to having depression, Prozac and the anxiety would interfere with sleeping patterns.  I take Lunesta as needed to try to correct my sleeping habits.  Since I was sleeping too long and having difficulty waking up, I usually only take half a tablet of Lunesta now.",1
2433,symbicort,2,Moderately Effective,Severe Side Effects,asthma/copd,moderately helped control my asthma and copd,"back pain, chest pain, headaches, distorted vision, thyroid problems, fast pounding heart beats, irregular heart rhythm, gave me a sinus arrhythmia","Started taking the drug in May, recently stopped due to the connection between all my heart problems that started when I started the drug.  Now am having to see a cardiologist to make sure there is no long term damage to my heart.",0
2781,keppra,8,Considerably Effective,Mild Side Effects,seizure disorder,benefits were milder and less frequent seizures,Tiredness,"Started taking after brain injury due to AVM and radiation treatment.  First seizure was major, requiring hospitalization.  After taking Keppra, a susequent seizure was very mild.",1
3796,tussionex,8,Considerably Effective,Mild Side Effects,respiratory infection,it relieved my respiratory infection along with my cold and cough,I felt a little drowsy at times.  My mouth also felt dry through the night.,I was experiencing a persistent cough that was not going away.  In the mornings I also had nasal congestion.  I finally went to the doctor and was diagnosed with a respiratory infection.  The doctor prescribed me Tussionex and told me to take a spoonful once a day for 7 days.  It started to work very quickly.  Aside from a little drowsiness and dry mouth I did not experience any serious side effects.,1
2135,concerta,9,Considerably Effective,Mild Side Effects,add,as an add child unable to process information propertly the medication helped her get focused and understand better while in school  her anxiety level was controlled and helped loose some weight  she was able to control better the outburst socially,"some slight headaches and lacking energy, complainingof being tired.",Medication was prescribed while in second grade.  Socially and academically it helped her quite significantly.  In school she was in special classes and the medicationhas helped her get mainstreamed into regular classes.  She is able to soialize a bit better along with therapy.  Her level of anxiety is better making her behave a little more relaxed and controlling regular outbursts.  It also helped her in her weight due to the anxiety control.  Definately able to see the difference when not taking the medication.  Difficult to be in school without it.,1
1704,retin-a-micro,8,Considerably Effective,Moderate Side Effects,acne - blackheads and acne scars,blackheads are gone pores on my cheeks are noticeably smaller acne scars faded skin looks more polished,"A few days a week, my face would be red, very sensitive, and peeling. Then it would be back to normal and then a few days later the peeling starts again.","I use this drug to help with the overall appearance of my skin, especially blackheads, pore size, and acne scars. I don't have any wrinkles, so I can't comment on how well it worked for that. But hopefully it is preventing wrinkles from ever developing. I only use it twice a week now coz my skin is very sensitive. Once I get more used to the drug, I will slowly increase the frequency. During the first two weeks of use, I didn't really notice any changes except that my skin was drier and started to peel a little. By the third week, I started seeing my blackheads disappearing and my pores changing. They actually looked bigger. Then after 2 months of continued usage, my pores got smaller, acne scars faded and blackheads are almost completely gone. Few days a week I would have red, irritated peeling skin. But nothing extremley terrible or intolerable. With good moisturizer and calming face creams, I'm able to minimize my peeling to a point where it doesn't bother me that much. I've heard that Retin-A takes awhile to work and see results, but I've already seen positive changes in less than 6 months. I can't wait to find out the long-term benefits it will have on my skin, especially after I start increasing the frequency and concentration.",1
455,qvar,10,Highly Effective,No Side Effects,asthma,the treatment benefits of qvar are that i do not think about my condition also it is easy to execute the treatment  i exercise and go about my day as if i were not afflicted with asthma  i do not worry about having an attack which is a big relief  the treatment is inconspicuous another plus,I am fortunate in saying that there are no side effects at the dose I am taking.,"Each morning, I take out my AeroChamber that holds the QVAR.  I shake the QVAR aerosol canister and place it back into the AeroChamber.  I then empty my lungs of air and take a big puff of the QVAR. I hold it in my lungs for as long as possible before breathing out.  I repeat this process at night before retiring. I expect to be using QVAR for the foreseeable future.",1
52,flexeril,8,Considerably Effective,Moderate Side Effects,muscle spasms (upper back/neck),quick and lasting relief of back and neck pain and muscle spasms the effects are felt after about  hour and full effects are felt after   hours and about  of the pain and tension are relieved for about  hours if stretching of the muscles is done while on the medicine the pain and tension are greatly reduced for longer than the  hours if the medicine is taken before bed morning pain and tension are reduced about ,"Drowsiness (moreso when already tired). If the medicine is taken after 8-10 hours of sleep the drowsiness is manageable. If the medicine is taken after not much sleep, the drowsiness interferes with functioning.","The medicine is taken once per day at night, about 2 hours before bed. Once the medicine fully kicks in (after about 1 1/2 hours), special stretches are done. Stretching along with the medicine provides about 90% relief from pain and tension, and the relief lasts longer than medicine alone. The medicine is also taken as when pain and tension are worse than average.",1
1667,climara,10,Highly Effective,No Side Effects,perimenopause,immediate relief of hot flashes from  per day to  per weeksleep disruption moodinessagitation depression or periodic unexplained dark days lack of libido,"None. This is not a side effect per se, but it is something to be aware of--the patch leaves a dirty/darkened ring around it on the skin due to normal body oils. Even though I am a heavy shower-taker (but also work out a lot, therefore I produce above average perspiration), no one mentions this but it is unsightly.",Application of one patch in abdomen or upper buttock area weekly.,1
1817,humira,5,Considerably Effective,Severe Side Effects,"ra, sj�gren syndrome",rheumatic arthritis problemssymptoms dissapeared no more morning stifness no more joint pains more energy more appetite,"Severe lung complications: Dyspneu, Pneunomonitis (inflammation of lung tissue), severe fever (40.3�).
Inlammation of cornea.
No relief of Sj�grens syndrome symptoms.
First treatment with Humira resulted in a drop of the bloodpressure.","Hospitalization, high doses of Prednisolon, Claritromycine and other antibiotics. Pantropazol, Atrovent, Salbutamol",1
4035,tri-luma,1,Ineffective,Extremely Severe Side Effects,melasma,ive not got any benefits ive just spoiled my skin and pigment spots look now dark brown and they are very obvious,"1. Redness;
2. Burning;
3. Red spots;
4. Pigment spots look darker.
5. Skin is very sensitive. I can't put a Sunscreen on at all.
6. Possibility to develop skin cancer!
7. Bad experience for $200!!!","Hi! I am a russian (european race) who has migrated from Sweden to the USA. I have developed melasma (dark spots) under my eyes and on my forehead. I visited a dermatologist in the USA, FL about 1 month ago. He prescribed me Tri Luma that contains 4% of Hudroquinone. Have you ever read about Hydroquinone?- I asked him. As I investigated it I found the information that hydroquinone has been banned in many european countries including France, Sweden and Russia etc, for concerns about increased cancer risk.The FDA admitted that the risk of using the drug is not known and more testing needs to be done.In fact, the FDA also warned that hydroquinone has been linked to a condition that disfigures the skin. Anyway,I tried the cream, a sample that the doctor gave to me. He prescribed to use it twice a week - Mondays and Fridays. It was terrible!!! I used it just once a week on my pigment spots because my skin got red, burning and after 1 week it was peeling. Some doctors prescribe to use it once, twice a day!!! I put it on only once a week. Ok, after 1 month, 4 treatments I have the result: my pigment spots have not been improved at all. Moreover, the skin is burnt and now I have very obvious dark red-brown spots. I really look terrible. I can't put on any sunscreen because the skin is damaged by Tri Luma. I am so happy that I didn't buy the full size cream which costs $200 and the insurance doesn't cover it. I don't want to buy cancer for $200. Thanks. I've also contacted russian and swedish doctors. They've forbade to use it strongly!!! They've suggested to use natural products such as juice of lemon, parcley, put camomile teabags on dark spots, oatmeal etc... and of course, avoid the Sun. Please be aware, read more information online.",0
20,proquin-xr,3,Considerably Effective,Moderate Side Effects,pneumonia,my cough was reduced from  hours a day to a few episodes per day,"First, what I termed ""Cipro brain"", which is not thiking clearly and making mistakes (like jet-lag).  Then, I started getting ulcers on my tongue.  They spread to my gums and inside lips and my tongue was swollen, making it difficult to talk.  I was afraid that if I got stopped, driving, the cop would think I was drunk, because I was slurring my words.  Now, several days after stopping the drug, I still have extreme fatigue. I'm hoping to return to normal!  When I had pneumonia, I actually felt fine, but the cough had to to be treated.  I doubt if I would ever take Ciprofloxacin again.","I took the pill twice a day, morning and evening, after meals.  I also kept up with my daily exercise regimen (walking and swimming).",0
1428,adipex-p,9,Highly Effective,Mild Side Effects,overweight,extremely effective appetite suppresant provides longterm energy and appetitie control throughout the day helps patient easily lose weight,"There was some jitteriness and dry mouth assoicated with the drug. Also, if you take the medicine too late in the day, you may experience insomnia.",Take one capsule at 10 am and another at 2 pm for appetite control throughout the day. It's best to go to bed at a reasonable hour before the appetite suppression fades.,1
415,imitrex,10,Highly Effective,No Side Effects,migraines,i am so thankful for imetrex i have severe migraine headaches at leat  to  times a month before taking imetrex my headaches would last  to  days with imetrex i can take the pill and my headache is gone within the hour i have no side effects from the taking this medicine,None,You can only take this medicine while not driving. You have to be able to go into a dark room and be able to lay for at least and hour and half. After that you are able to go back to normal living.,1
2045,prempro,6,Considerably Effective,Moderate Side Effects,"menopausal symptoms, especially night sweats",night sweats greatly reduced within a week from  strong episodes a night and associated sleep disturbance to  a night mostly in the early am and less severe and shorter duration,"Increase in bloating, increased feeling of needing to urinate (every hour or so, but often very little urine production) and quite frequent discomfort, mostly at the end of urination. Tiredness persists, which is odd as I have been sleeping quite a lot better.","My ob-gyn recommended I try this for 3 months, but if the negative effects still persist by the end of the current month I will probably stop taking it.",1
194,adderall,10,Highly Effective,Mild Side Effects,add,i was able to focus and get things done  i wasnt overwhelmed with the amount of things i had to do and didnt get discouraged as easily as usual,"I had trouble falling asleep, especially if I didn't take it early enough in the morning.",I had no problems with the medication.  I don't take it every day.,1
1220,prozac,7,Considerably Effective,No Side Effects,depression,within the first eight months i did not notice any benefits and decided to stop the treatments once off the prozac my depression was worsen made me realise that the treatment was working but that i had not realised thisi restarted my treatment shortly after and felt much better although i felt better i realised that prozac by itself was not the answer and i had to address other areas in my life,There was no negative side effects.,Within the first eight months I did not notice any benefits and decided to stop the treatments. Once off the Prozac my depression was worsen made me realise that the treatment was working but that I had not realised this.I restarted my treatment shortly after and felt much better. Although I felt better I realised that Prozac by itself was not the answer and I had to address other areas in my life.,1
3353,lipitor,4,Marginally Effective,Severe Side Effects,high c,none tho my doctor told me that it would lower my cholesterol if i took it and ate less red meat and more fish but i dont like fish and love red meat so just eat low fat meat now like chicken,extreme lethargy and muscle pain - my doctor said it would go away in a few wekks but when it didn't I had to stop because I could not  work feeling like this.,"had sorta high cholesterol, started on this by my doctor but stopped when above occured. See above.",0
1092,effexor,8,Considerably Effective,Mild Side Effects,depression,the effexor worked the first day i took it  for some time previously i had felt paralyzed or too depressed to get much done  the day i began taking it i noticed a difference in that i felt more able to get out of the house and able to cope with the difficulties of mothering  children fulltime as i said it worked the first day but continued to work better and better over the next  weeks until i worked up to my eventual dose i started at  mg and worked my way up to  mg,"The only side effect I noticed was that if, for some reason, I forgot to take the effexor in the morning, by the evening I felt sort of dizzy in a really weird way.","I'm not clear on what is wanted in this section.  I will do my best, and if you wish to email me with a request for specific info, I will be happy to help.  I was seeing a psychiatrist 9 years ago who thought Effexor was worth a try.  I had been on Prozac a few yrs previous, and although it worked really well, after taking it for two years I developed the side effect of experiencing arthritic pain in my hands.  That was the reason I discontinued the use of Prozac. After being off the Prozac or any other meds for a year or two, I could feel myself sliding back into the black hole of depression and severe anxiety.  I found a doctor (psychiatrist)and he put me on Effexor.  It was a miracle.  I was soooo happy to find something that worked so well, and on the first try. (Several years before, I had gone through what my family refers to as the ""year of hell,"" when I first began the journey of searching for an anti-depressant that would work AND not have side effects that kept me from functioning normally.) My treatment consisted of: Taking the 300 mg of effexor, and monthly visits to my psychiatrist to determine how well my effexor was working and to discuss other treatment options. Although I could notice a marked difference in my mood, I still felt that I wasn't nearly as healthy mentally as I needed to be.  I would still have days when I felt ""paralyzed"" and very anxious.  When I discussed the problem with my psych., he suggested that I add Luvox, another anti-depressant, to my regimen.  That helped as well, although there were two unpleasant side effects: 1) loss of sex drive and difficulty achieving orgasm, and 2) night sweats.  My doc prescribed 1 mg of hytrin for the night sweats; it worked, and he recommended 60 mg. ginko biloba daily for the loss of sex drive.  It may have helped a little, but I was never quite sure. One other thing I found beneficial for my anxiety was 10 mg. dexadrine.  It seemed contradictory to me that a stimulant would calm me down, but the very first day I took it, I felt calm for the first time in my life. Up until then I didn't realize how severe my anxiety was, because I had never known what it was like to be without it. But that very first day I took it, I felt a calmness come over me that was such a relief.  Always before, I had a feeling inside that I can only explain as the feeling one would get if one was late for an important meeting with one's boss.  Sort of like, ""I'm late! Gotta hurry! oh, no!""  That was a feeling that I had always had, and it had nothing to do with what my situation was-- late or early, it made no difference.  For the first two weeks I took the Dexadrine, I didn't pull my hair (trichotillomania)at all, nor did I even realize I wasn't pulling, as I didn't even think about it.  Unfortunately, I did go back to pulling after that. The 2 side effects I experienced with the dex. is that 1) it made me drowsy for about the first hour after I took it, and 2) it made me feel like I lost my spontaneity.  I got a lot more done, and I didn't feel so panicked, but I wasn't as much fun.  For that reason, I stopped taking it regularly and took it maybe only half of the time.  After maybe a year or two I quit taking it altogether and when I went back on it last year after having been off of it for about 5 years, it no longer worked as it had before.  It made me feel jittery as though I'd had way too much coffee.  It just made the anxiety worse.

I'm not sure if I was supposed to tell about more than one medication for this survey. However, these four meds I've mentioned were all sort of intertwined, so it seemed appropriate for me to do so. I have taken a myriad of other anti-depressants in my quest to find one that would work, and I would be willing to share my experiences with those other meds as well. Just let me know if you want mori info.",1
3818,nolvadex,3,Highly Effective,Severe Side Effects,breast cancer,prevention of recurrence of estrogen positive tumours,"severe menopause symptoms - hot flashes, cold sweats causing disturbed sleep and insomnia. symptoms seen to be worse after herceptin and the most distressing is the inability to get warm. I have also developed a discharge that is not pleasant but not too terrible and a change in the smell of my body odour. My skin also seems thinner.",take 1 pill daily,0
1224,levora,7,Highly Effective,Moderate Side Effects,contraception,protection against pregnancy,decreased vaginal lubrication and sex drive,"I take the pill continuously, skipping the placebos and thus my period for four months, followed by one week of placebos.  My mood, energy and hormonal balance remain constant, particularly compared to other pills but unfortunately so has my sex drive.  The changes in sexual feelings are clearly related to the pill because as soon as I take the placebos I experience a huge elevation in sex drive.  That is not much motivation to keep taking them but aside from spermicidal barrier methods that cause irritation and invasive procedures such as the IUD, I don't know what other options I have.",1
1669,plendil,9,Moderately Effective,Mild Side Effects,hypertention,blood pressure came to with in normal limits overall feeling of wellbeing and reduced risk of longterm cardiovascular copmlications,headaches mainly,"tenormin 25 twice daily
felodipine 10 mg once daily
Losartan 50 mg and hydrochlorothiazide 12.5 mg once daily
Regular exercise
moderate salt restiction
smoking cessation and alcohol moderation
stress management techniques like yoga or meditation",1
264,ultram,5,Moderately Effective,Moderate Side Effects,back pain,the medicine in the beginning provided about  relief in pain but as time progressed it only provided about  pain relief this being said it does provide some mental relief from chronic pain and it relieves some of the muscle stiffness,When I do not take this medicine it puts me in a bad mood and causes my stomach to ache (like bad hunger pains even though I am not hungry). After I take the medicine these symptions disappear. Its almost like withdrawal.,Medicine was prescribed to be taken twice a day in combination with physcial therapy for back condition.,1
2504,naprosyn,8,Moderately Effective,No Side Effects,arthritis,"pain relief from arthritis flare up no stomach or other side effects
the medication needed to be taken with food or milk to avoid stomach upset",none,took once a day for 2 weeks with good results of relief of back pain I also used exercise and ice when the pain was severe,1
3426,tazorac,9,Highly Effective,Moderate Side Effects,age spots on hand,i had gotten severe age spots on my hands probably from spending many years driving long distances each day  my hands looked worse than anyone elses my age or older  my hands now looks pretty goodvery good,"As the age spots scabbed up, they peeled off, and left my hands red, raw and sore.  One night, the burning feeling was so intense, I had to wash it off.  I was quite worried, as this medicine was out of date, and I thought perhaps it had become dangerous.  Originally it was prescribed for my daughter's acne, but I had read online that it might be helpful for age spots.","I applied a small amount, probably more than I needed to, to the back of each hand for several nights in a row.  Before many nights had passed, I noticed that the skin around each age spot was beginning to become dry and peeling.  Before long, the age spots just seemed to peel off, as did some spots that were more like small moles or very dark freckles.  Although I was concerned that I had severly burned and scarred my hands (they looked very bad for more than a month), now they look great.  In fact, the left one, which was the worse one, improved more than the right hand!",1
1464,cymbalta,1,Ineffective,Extremely Severe Side Effects,depression pain,none,"I had visionary disturbances,my pupils got huge and I had a horrible panic attack,trouble breathing,profuse sweating pain in neck and chest,fainting feeling of impending doom.I had two attacks within 20 mins.I passed out and awoke with a migraine which lasted 2 days.I still have eye twitches that won't go away and bad headaches.It has been 5 weeks ago.This drug nearly killed me and I still have residual effects from it.I called my doctors as soon as I was able and the one GI that prescribed it said ""well your not taking it anymore are you?""my GP says after I tell him I think I had a heart attack and These migraines and eye twitches wont stop ""I wish I could give you something to forget that experience""I wasn't even clinically depressed,I was sad I was just diagnosed with Hep c.I need to get help from a doctor who cares that this drug harmed me.",one every morning increase to two after 7 days   Took one and almost died,0
2179,halcion,3,Ineffective,No Side Effects,insomnia,benefits were to treat insomnia,None as long as directions were followed.,"Patient had severe insomnia. 45 years old, 5'7"", 90 lbs. Was given 5 mg Halcion nightly to sleep and it had little effect. Patient was able to sleep 1-2 hours. She doubled dose and it still did not able her to sleep any longer.",0
3669,effexor-xr,3,Marginally Effective,Severe Side Effects,depression,some decreased depression but not as well as with wellbutrin,"constipation, dizziness and elevated bp",had to stop the mediccine and go back to taking wellbutrin 300mg xl.  the side effect of going off of the effexor included a lot of dizziness,0
1644,sumatriptan,9,Highly Effective,Mild Side Effects,migraine,the drug rapidly gets rid of migraine,"The drug causes slight dizziness and tightness around my temples.  Sometimes I also feel slightly nauseated after taking it, but perhaps I should blame the headache and not the medication.",I take one dose at onset of headache.  I repeat doses of the drug at one hour intervals if headache gets better but then worsens again.,1
